SLIC,Facility Latitude,Facility Longitude
5,0,0
59,25.8064,-80.3049
69,25.8064,-80.3049
101,42.1433,-72.6247
106,42.1433,-72.6247
108,42.0501,-71.0034
11,42.1433,-72.6247
112,42.1433,-72.6247
118,42.1433,-72.6247
119,42.1433,-72.6247
12,42.4593,-73.1903
127,41.652,-71.004
128,41.7799,-70.5312
13,42.477,-72.6201
131,42.9443,-71.4366
137,42.477,-72.6201
138,42.11223333,-72.08426667
14,42.5329,-71.7358
148,42.5329,-71.7358
15,42.2603,-71.7924
158,42.0501,-71.0034
16,42.2603,-71.7924
168,42.2603,-71.7924
169,42.2603,-71.7924
16WN,42.2603,-71.7924
17,42.2508,-71.429
172,42.6001,-71.3046
176,42.6001,-71.3046
177,42.2603,-71.7924
178,42.2508,-71.429
17SP,0,0
18,42.6001,-71.3046
184,42.6001,-71.3046
185,42.6001,-71.3046
186,21.18875,-35.5398
188,42.6001,-71.3046
189,42.6001,-71.3046
18MS,42.6001,-71.3046
19,42.5065,-71.0344
193,42.5065,-71.0344
198,42.6001,-71.3046
199,42.5065,-71.0344
1CAS,21.30005,-35.6523
2,42.0501,-71.0034
201,42.2508,-71.429
203,42.2076,-71.1795
204,42.2076,-71.1795
205,42.2076,-71.1795
206,42.2076,-71.1795
207,42.363,-71.1539
208,42.3775,-71.0796
209,42.2076,-71.1795
21,42.363,-71.1539
211,42.0501,-71.0034
212,42.3775,-71.0796
213,42.2076,-71.1795
214,42.363,-71.1539
215,42.363,-71.1539
216,42.363,-71.1539
217,42.363,-71.1539
218,42.363,-71.1539
219,42.363,-71.1539
22,38.0511,-120.5313
221,42.0501,-71.0034
222,42.0501,-71.0034
223,42.0501,-71.0034
226,41.6814,-70.2571
227,42.9432,-71.4525
228,42.5065,-71.0344
229,42.3692,-71.027
23,42.2603,-71.7924
231,42.3393,-71.0425
233,42.0501,-71.0034
234,41.7799,-70.5312
238,42.0501,-71.0034
24,42.0501,-71.0034
248,42.0501,-71.0034
249,42.0501,-71.0034
24JJ,0,0
25,41.4453,-70.6087
251,41.2621,-70.0724
258,42.3775,-71.0796
259,41.7799,-70.5312
25AC,0,0
26,41.7799,-70.5312
261,41.6814,-70.2571
262,41.6814,-70.2571
263,41.6814,-70.2571
267,41.6814,-70.2571
268,42.2076,-71.1795
269,41.6814,-70.2571
27,41.652,-71.004
272,41.7335,-71.4462
273,41.7335,-71.4462
274,41.9478,-71.1261
278,42.0501,-71.0034
27AM,0,0
28,41.7335,-71.4462
281,41.7335,-71.4462
285,41.7335,-71.4462
288,41.7335,-71.4462
289,41.7329,-71.431275
29,41.7335,-71.4462
291,41.7335,-71.4462
293,41.652,-71.004
294,41.7335,-71.4462
298,41.7335,-71.4462
299,41.7335,-71.4462
2NH,41.8043,-70.50586667
2NM,42.0501,-71.0034
2NN,42.0501,-71.0034
3,42.7564,-71.4905
302,42.7564,-71.4905
307,42.9443,-71.4366
308,42.81866667,-71.47783333
309,42.9443,-71.4366
30AM,0,0
31,42.9432,-71.4525
316,0,0
317,42.9432,-71.4525
318,42.9432,-71.4525
319,42.9432,-71.4525
32,43.5278,-71.4754
326,43.5278,-71.4754
328,43.5278,-71.4754
333,42.9432,-71.4525
338,43.5278,-71.4754
34,42.9159,-72.2868
347,42.9159,-72.2868
348,42.9159,-72.2868
35,44.2912,-71.542
358,44.2912,-71.542
368,43.04106667,-71.09043333
371,43.6951,-72.3177
379,43.1834,-70.8904
38,43.1834,-70.8904
386,42.7564,-71.4905
388,43.1834,-70.8904
395,0,0
396,41.7335,-71.4462
399,42.7564,-71.4905
4,43.3011,-70.5756
408,43.6405,-70.3217
412,43.6405,-70.3217
