CC,SLIC,SORT,CAP,SPAN,STRT
PR,0089,P,69,403,400
PR,0089,T,84,403,1700
PR,0090,L,186,328,1700
PR,0090,P,100,403,400
PR,0093,L,254,328,1700
PR,0093,P,111,403,400
PR,0094,L,240,328,1700
PR,0094,P,119,403,400
PR,0095,L,240,328,1700
PR,0095,P,84,403,400
PR,0096,L,82,328,1700
PR,0096,P,124,403,400
US,0119,L,9124,328,1700
US,0119,P,9413,403,400
US,0119,S,20000,403,300
US,0120,L,4163,328,1700
US,0120,P,3900,403,400
US,0130,L,3601,328,1700
US,0130,P,2375,403,400
US,0140,L,3292,328,1700
US,0140,P,2525,403,400
US,0169,D,83000,478,1100
US,0169,N,83000,403,2200
US,0169,P,6115,403,400
US,0169,S,83000,403,300
US,0169,T,83000,403,1700
US,0170,L,4334,328,1700
US,0170,P,2500,403,400
US,0189,D,92000,478,1100
US,0189,N,92000,403,2200
US,0189,P,9032,403,400
US,0189,T,92000,403,1700
US,0199,L,7343,328,1700
US,0199,P,4632,403,400
US,0202,L,780000,328,1700
US,0209,L,15367,328,1700
US,0209,P,14768,403,400
US,0212,L,6688,328,1700
US,0212,P,8547,403,400
US,0219,L,14045,328,1700
US,0219,P,17542,403,400
US,0219,S,13500,403,300
US,0229,S,3710,403,300
US,0229,T,3657,403,1700
US,0231,L,8500,328,1700
US,0231,P,6181,403,400
US,0249,L,22215,328,1700
US,0249,P,9660,403,400
US,0250,L,2112,328,1700
US,0250,P,2900,403,400
US,0251,L,2640,328,1700
US,0251,P,3075,403,400
US,0259,L,3501,328,1700
US,0259,S,20000,403,300
US,0269,L,4084,328,1700
US,0269,S,20000,403,300
US,0270,L,3126,328,1700
US,0270,P,3124,403,400
US,0299,N,54000,403,2200
US,0299,P,26600,403,400
US,0299,T,54000,403,1700
US,0300,P,13258,403,400
US,0309,S,950000,403,300
US,0309,T,1109999,403,1700
US,0319,L,7314,328,1700
US,0319,P,14640,403,400
US,0320,L,2600,328,1700
US,0320,P,4760,403,400
US,0340,L,5464,328,1700
US,0340,P,4329,403,400
US,0350,L,1554,328,1700
US,0350,P,2480,403,400
US,0380,L,2025,328,1700
US,0380,P,7080,403,400
US,0399,L,3772,328,1700
US,0399,P,13643,403,400
US,0400,L,1951,328,1700
US,0400,P,5315,403,400
US,0419,L,14227,328,1700
US,0419,P,11900,403,400
US,0422,L,4270,328,1700
US,0422,P,10286,403,400
US,0432,L,1169999,328,1700
US,0434,L,1009999,328,1700
US,0449,L,6538,328,1700
US,0449,P,5372,403,400
US,0449,S,20000,403,300
US,0460,L,2193,328,1700
US,0460,P,3029,403,400
US,0470,L,2692,328,1700
US,0470,P,2850,403,400
US,0471,L,814,328,1700
US,0471,P,1315,403,400
US,0480,L,3167,328,1700
US,0480,P,2880,403,400
US,0490,L,3047,328,1700
US,0490,P,4458,403,400
US,0500,L,2432,328,1700
US,0500,P,3000,403,400
US,0530,L,2732,328,1700
US,0530,P,2550,403,400
US,0540,L,4239,328,1700
US,0540,P,9514,403,400
US,0560,L,2604,328,1700
US,0560,P,3240,403,400
US,0570,L,2803,328,1700
US,0570,P,2730,403,400
US,0580,L,2501,328,1700
US,0580,P,2520,403,400
US,0609,L,20972,328,1700
US,0609,N,20580,403,2200
US,0609,P,6150,403,400
US,0609,S,2850,403,300
US,0609,T,23324,403,1700
US,0619,D,34205,478,1100
US,0619,N,40000,403,2200
US,0619,P,6253,403,400
US,0619,T,40000,403,1700
US,0635,L,3158,328,1700
US,0635,P,2400,403,400
US,0647,L,3906,328,1700
US,0647,P,4840,403,400
US,0649,L,10167,328,1700
