SLIC,SLIC Name,OpTyp,Desc,Building,Building Name,Region Num,Region Name,District Num,District Name,Facility Latitude,Facility Longitude,Organization Country Cd
5,CRYSTAL LAKE,APT,AIRPORT,600,CRYSTAL LAKE,22,AIR,65,LOUISVILLE AIR,0,0,US
5,CRYSTAL LAKE,APT,AIRPORT,999,CRYSTAL LAKE,22,AIR,65,LOUISVILLE AIR,0,0,US
59,IMPORT HUB,HUB,HUB/CENTRAL SORT,59,"UPS AIR CARGO, INC.",13,AMERICAS,46,"UPS LATIN AMERICA, INC.",25.8064,-80.3049,US
69,EXPORT HUB,HUB,HUB/CENTRAL SORT,59,"UPS AIR CARGO, INC.",13,AMERICAS,46,"UPS LATIN AMERICA, INC.",25.8064,-80.3049,US
101,SPRINGFIELD-COUNTY,PKG,REGULAR PACKAGE CENTER,119,SPRINGFIELD,7,EAST REGION,36,NORTHEAST,42.1433,-72.6247,US
101,SPRINGFIELD-COUNTY,PKG,REGULAR PACKAGE CENTER,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US
106,SPRINGFIELD,RRY,RAIL YARD,119,SPRINGFIELD,7,EAST REGION,36,NORTHEAST,42.1433,-72.6247,US
106,SPRINGFIELD,RRY,RAIL YARD,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US
108,BRAINTREE - 209 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
108,BRAINTREE - 209 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
110,SPRINGFIELD-CITY,PKG,REGULAR PACKAGE CENTER,119,SPRINGFIELD,7,EAST REGION,36,NORTHEAST,42.1433,-72.6247,US
110,SPRINGFIELD-CITY,PKG,REGULAR PACKAGE CENTER,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US
112,AMTRAC,RRY,RAIL YARD,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US
118,SPRINGFIELD,CPU,CENTRAL PICKUP,119,SPRINGFIELD,7,EAST REGION,36,NORTHEAST,42.1433,-72.6247,US
118,SPRINGFIELD,CPU,CENTRAL PICKUP,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US
119,SPRINGFIELD,HUB,HUB/CENTRAL SORT,119,SPRINGFIELD,7,EAST REGION,36,NORTHEAST,42.1433,-72.6247,US
119,SPRINGFIELD,HUB,HUB/CENTRAL SORT,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US
120,PITTSFIELD,PKG,REGULAR PACKAGE CENTER,120,PITTSFIELD,7,EAST REGION,36,NORTHEAST,42.4593,-73.1903,US
120,PITTSFIELD,PKG,REGULAR PACKAGE CENTER,120,PITTSFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.4593,-73.1903,US
