OCC,OSLIC,OSORT,DCC,DSLIC,DSORT,TrailerType,MvmtType,MvmtCap,Volume
PR,0075,L,PR,0099,N,w,M1,1000,860
PR,0089,P,US,3228,D,ww,M1,2000,0
PR,0089,P,US,3228,D,ww,M1,2000,0
PR,0089,P,US,3228,D,ww,M1,2000,0
PR,0089,P,US,3228,D,ww,M1,2000,0
PR,0089,P,US,3228,D,ww,M1,2000,0
PR,0090,L,PR,0099,N,ww,M1,2000,467
PR,0092,P,PR,7416,P,w,M1,1000,0
PR,0093,L,PR,0099,N,ww,M1,2000,273
PR,0094,L,PR,0099,N,ww,M1,2000,441
PR,0095,L,PR,0099,N,ww,M1,2000,284
PR,0096,L,PR,0099,N,ww,M1,2000,496
PR,0099,N,PR,0090,P,ww,M1,2000,1994
PR,0099,N,PR,0093,P,ww,M1,2000,1397
PR,0099,N,PR,0094,P,ww,M1,2000,1964
PR,0099,N,PR,0095,P,ww,M1,2000,1439
PR,0099,N,PR,0096,P,ww,M1,2000,1572
PR,0099,N,US,4029,T,ww,M1,2000,2000
PR,0099,T,US,4029,T,ww,M1,2000,1507
US,0119,L,US,0169,N,ww,M1,2000,675
US,0119,L,US,0189,N,ww,M1,2000,2000
US,0119,L,US,0189,N,ww,M1,2000,1466
US,0119,L,US,0689,N,ww,M1,2000,1247
US,0119,L,US,0689,N,ww,M1,2000,0
US,0119,L,US,0689,N,ww,M1,2000,0
US,0119,L,US,0689,N,ww,M1,2000,0
US,0119,L,US,0689,N,ww,M1,2000,0
US,0119,L,US,0689,N,ww,M1,2000,0
US,0119,L,US,0689,N,ww,M1,2000,0
US,0119,L,US,0689,N,ww,M1,2000,0
US,0119,L,US,0759,N,ww,M1,2000,2000
US,0119,L,US,0759,N,ww,M1,2000,1993
US,0119,L,US,0799,N,ww,M1,2000,2000
US,0119,L,US,0799,N,ww,M1,2000,1720
US,0119,L,US,1229,N,ww,M1,2000,1387
US,0119,L,US,1909,D,ww,M1,2000,2000
US,0119,L,US,1909,D,ww,M1,2000,1424
US,0119,L,US,6059,S,ww,M1,2000,2000
US,0119,L,US,6059,S,ww,M1,2000,2000
US,0119,L,US,6059,S,ww,M1,2000,2000
US,0119,L,US,6059,S,ww,M1,2000,2000
US,0119,L,US,6059,S,ww,M1,2000,341
US,0119,S,US,0130,P,ww,M1,2000,1140
US,0120,L,US,0169,N,ww,M1,2000,281
US,0120,L,US,0169,N,ww,M1,2000,0
US,0120,L,US,0189,N,ww,M1,2000,386
US,0120,L,US,0759,N,ww,M1,2000,925
US,0120,L,US,0799,N,ww,M1,2000,2000
US,0120,L,US,0799,N,ww,M1,2000,745
US,0120,L,US,1229,N,ww,M1,2000,571
US,0130,L,US,0119,L,ww,M1,2000,2000
US,0130,L,US,0119,L,ww,M1,2000,1785
US,0130,P,US,0169,D,ww,M1,2000,0
US,0130,P,US,0169,D,ww,M1,2000,0
US,0130,P,US,0169,D,ww,M1,2000,0
US,0140,L,US,0169,T,ww,M1,2000,2000
US,0140,L,US,0169,T,ww,M1,2000,2000
US,0140,L,US,0169,T,ww,M1,2000,2000
US,0140,L,US,0169,T,ww,M1,2000,2000
US,0140,L,US,0169,T,ww,M1,2000,48
US,0140,L,US,0169,T,ww,M1,2000,0
US,0140,L,US,0169,T,ww,M1,2000,0
US,0169,D,US,0186,P,w,M1,1000,1000
US,0169,D,US,0186,P,ww,M1,2000,1365
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
US,0169,D,US,8459,T,ww,M1,2000,0
