OCC,OSLIC,OAbbreviation,OSort,OSLC Type,DCC,DSLIC,DAbbreviation,DSort,DSLIC Type,Volume
CC,SLIC,Abbrev,Sort,Type,CC,SLIC,Abbrev,Sort,Type,Volume
PR,0068,0068,CTR,PR,0089,SJAPR,T,HUB,688,
PR,0089,SJAPR,T,HUB,PR,0089,SJAPR,P,HUB,1
PR,0089,SJAPR,P,HUB,PR,0091,SJUPR,CTR,3777,
PR,0089,SJAPR,T,HUB,PR,0099,SJUAS,T,ARPT,687
PR,0099,SJUAS,T,ARPT,PR,0099,SJUAS,N,ARPT,687
PR,0099,SJUAS,N,ARPT,US,4029,LCHKY,T,HUB,3507
US,4029,LCHKY,T,HUB,US,4519,SHAOH,P,HUB,19216
US,4519,SHAOH,P,HUB,US,4519,SHAOH,S,HUB,70693
US,4519,SHAOH,S,HUB,US,4519,SHAOH,D,HUB,58646
US,4519,SHAOH,D,HUB,US,4519,SHAOH,T,HUB,59907
US,4519,SHAOH,T,HUB,US,0619,HARCT,T,HUB,4842
US,0619,HARCT,T,HUB,US,0619,HARCT,N,HUB,38050
US,0619,HARCT,N,HUB,US,0130,SDEMA,P,CTR,2241
US,0130,SDEMA,P,CTR,US,0130,SDEMA,CTR,7917,
US,4519,SHAOH,T,HUB,US,0169,WORMA,T,HUB,7272
US,0169,WORMA,T,HUB,US,0169,WORMA,P,HUB,10007
US,0169,WORMA,P,HUB,US,0150,WOEMA,CTR,41259,
US,4029,LCHKY,T,HUB,US,0189,CHEMA,D,HUB,3607
US,0189,CHEMA,D,HUB,US,0189,CHEMA,P,HUB,13295
US,0189,CHEMA,P,HUB,US,0172,0172,CTR,70643,
US,4029,LCHKY,T,HUB,US,0299,PRORI,T,HUB,2564
US,0299,PRORI,T,HUB,US,0299,PRORI,N,HUB,56320
US,0299,PRORI,N,HUB,US,0209,NORMA,P,HUB,3474
US,0209,NORMA,P,HUB,US,0203,0203,CTR,45947,
US,4029,LCHKY,T,HUB,US,4519,SHAOH,N,HUB,7676
US,4519,SHAOH,N,HUB,US,0799,PARNJ,D,HUB,7769
US,0799,PARNJ,D,HUB,US,0799,PARNJ,T,HUB,87391
US,0799,PARNJ,T,HUB,US,0619,HARCT,N,HUB,18876
US,0619,HARCT,N,HUB,US,0219,WATMA,P,HUB,9198
US,0219,WATMA,P,HUB,US,0210,0210,CTR,46941,
US,0299,PRORI,N,HUB,US,0249,BROMA,P,HUB,7010
US,0249,BROMA,P,HUB,US,0211,0211,CTR,41238,
US,0299,PRORI,N,HUB,US,0231,SBOMA,P,CTR,1382
US,0231,SBOMA,P,CTR,US,0231,SBOMA,CTR,22304,
US,0299,PRORI,N,HUB,US,0270,DARMA,P,CTR,4169
US,0270,DARMA,P,CTR,US,0270,DARMA,CTR,18643,
US,0299,PRORI,N,HUB,US,0274,KNGMA,P,CTR,2435
US,0274,KNGMA,P,CTR,US,0274,KNGMA,CTR,15423,
US,0299,PRORI,T,HUB,US,0299,PRORI,P,HUB,11042
US,0299,PRORI,P,HUB,US,0280,0280,CTR,80847,
US,0189,CHEMA,D,HUB,US,0189,CHEMA,T,HUB,153311
US,0189,CHEMA,T,HUB,US,0189,CHEMA,N,HUB,155124
US,0189,CHEMA,N,HUB,US,0399,NSHNH,P,HUB,22844
US,0399,NSHNH,P,HUB,US,0300,NASNH,CTR,31844,
US,0189,CHEMA,N,HUB,US,0319,MANNH,P,HUB,17849
US,0319,MANNH,P,HUB,US,0310,0310,CTR,27232,
US,0189,CHEMA,N,HUB,US,0380,DOVNH,P,CTR,12355
US,0380,DOVNH,P,CTR,US,0380,DOVNH,CTR,19546,
US,0189,CHEMA,N,HUB,US,0449,BANME,P,HUB,12567
