SLIC,Facility Latitude_x,Facility Longitude_x,OSLIC,DSLIC,VOL,Facility Latitude_y,Facility Longitude_y,VOL_LEVEL=
5,0.0,0.0,5,101,2.714,42.1433,-72.6247,1
5,0.0,0.0,5,172,5.819,42.6001,-71.3046,1
5,0.0,0.0,5,184,4.504,42.6001,-71.3046,1
5,0.0,0.0,5,185,2.451,42.6001,-71.3046,1
5,0.0,0.0,5,186,2.609,21.18875,-35.5398,1
5,0.0,0.0,5,193,3.556,42.5065,-71.0344,1
5,0.0,0.0,5,203,3.977,42.2076,-71.1795,1
5,0.0,0.0,5,211,2.24,42.0501,-71.0034,1
5,0.0,0.0,5,212,4.662,42.3775,-71.0796,1
5,0.0,0.0,5,213,3.977,42.2076,-71.1795,1
5,0.0,0.0,5,215,6.766,42.363,-71.1539,1
5,0.0,0.0,5,231,5.135,42.3393,-71.0425,1
5,0.0,0.0,5,251,1.9240000000000002,41.2621,-70.0724,1
5,0.0,0.0,5,261,2.609,41.6814,-70.2571,1
5,0.0,0.0,5,274,3.24,41.9478,-71.1261,1
5,0.0,0.0,5,281,3.556,41.7335,-71.4462,1
5,0.0,0.0,5,285,2.292,41.7335,-71.4462,1
5,0.0,0.0,5,302,3.346,42.7564,-71.4905,1
5,0.0,0.0,5,316,2.241,0.0,0.0,1
5,0.0,0.0,5,412,7.7139999999999995,43.6405,-70.3217,1
5,0.0,0.0,5,422,4.03,44.0445,-70.2931,1
5,0.0,0.0,5,432,9.818999999999999,0.0,0.0,1
5,0.0,0.0,5,471,1.662,46.1406,-67.8401,1
5,0.0,0.0,5,603,2.819,41.9271,-72.6319,1
5,0.0,0.0,5,605,2.819,41.6073,-73.0803,1
5,0.0,0.0,5,635,2.503,41.3677,-72.126,1
5,0.0,0.0,5,647,2.293,41.2478,-72.9924,1
5,0.0,0.0,5,652,3.503,41.3682,-72.883,1
5,0.0,0.0,5,681,3.134,41.09,-73.4255,1
5,0.0,0.0,5,701,1.5030000000000001,40.7539,-74.0636,1
5,0.0,0.0,5,702,6.7139999999999995,40.7539,-74.0636,1
5,0.0,0.0,5,703,3.819,20.37695,-37.0318,1
