CC,SLIC,SORT,CAP,SPAN,STRT,SLIC_State,Facility Latitude,Facility Longitude
PR,89,P,69,403,400, PR,40.5109,-74.3386
PR,89,P,69,403,400, NJ,40.5109,-74.3386
PR,89,P,69,403,400, NV,40.5109,-74.3386
PR,89,T,84,403,1700, PR,40.5109,-74.3386
PR,89,T,84,403,1700, NJ,40.5109,-74.3386
PR,89,T,84,403,1700, NV,40.5109,-74.3386
PR,93,L,254,328,1700, PR,34.2501,-119.2271
PR,93,L,254,328,1700, CA,34.2501,-119.2271
PR,93,P,111,403,400, PR,34.2501,-119.2271
PR,93,P,111,403,400, CA,34.2501,-119.2271
PR,94,L,240,328,1700, PR,37.7645,-122.4057
PR,94,L,240,328,1700, CA,37.7645,-122.4057
PR,94,P,119,403,400, PR,37.7645,-122.4057
PR,94,P,119,403,400, CA,37.7645,-122.4057
PR,95,L,240,328,1700, PR,36.9846,-122.0348
PR,95,L,240,328,1700, CA,36.9846,-122.0348
PR,95,P,84,403,400, PR,36.9846,-122.0348
PR,95,P,84,403,400, CA,36.9846,-122.0348
PR,96,L,82,328,1700, PR,41.487,-120.5433
PR,96,L,82,328,1700, CA,41.487,-120.5433
PR,96,P,124,403,400, PR,41.487,-120.5433
PR,96,P,124,403,400, CA,41.487,-120.5433
US,119,L,9124,328,1700, MA,42.1433,-72.6247
US,119,P,9413,403,400, MA,42.1433,-72.6247
US,119,S,20000,403,300, MA,42.1433,-72.6247
US,169,D,83000,478,1100, MA,42.2603,-71.7924
US,169,N,83000,403,2200, MA,42.2603,-71.7924
US,169,P,6115,403,400, MA,42.2603,-71.7924
US,169,S,83000,403,300, MA,42.2603,-71.7924
US,169,T,83000,403,1700, MA,42.2603,-71.7924
US,189,D,92000,478,1100, MA,42.6001,-71.3046
US,189,D,92000,478,1100, PA,42.6001,-71.3046
US,189,N,92000,403,2200, MA,42.6001,-71.3046
US,189,N,92000,403,2200, PA,42.6001,-71.3046
US,189,P,9032,403,400, MA,42.6001,-71.3046
US,189,P,9032,403,400, PA,42.6001,-71.3046
US,189,T,92000,403,1700, MA,42.6001,-71.3046
US,189,T,92000,403,1700, PA,42.6001,-71.3046
US,199,L,7343,328,1700, MA,42.5065,-71.0344
US,199,L,7343,328,1700, DE,42.5065,-71.0344
US,199,P,4632,403,400, MA,42.5065,-71.0344
US,199,P,4632,403,400, DE,42.5065,-71.0344
US,209,L,15367,328,1700, MA,42.2076,-71.1795
US,209,P,14768,403,400, MA,42.2076,-71.1795
US,212,L,6688,328,1700, MA,42.3775,-71.0796
US,212,P,8547,403,400, MA,42.3775,-71.0796
US,219,L,14045,328,1700, MA,42.363,-71.1539
US,219,L,14045,328,1700, MD,42.363,-71.1539
US,219,P,17542,403,400, MA,42.363,-71.1539
US,219,P,17542,403,400, MD,42.363,-71.1539
US,219,S,13500,403,300, MA,42.363,-71.1539
US,219,S,13500,403,300, MD,42.363,-71.1539
US,229,S,3710,403,300, MA,42.3692,-71.027
US,229,S,3710,403,300, VA,42.3692,-71.027
US,229,T,3657,403,1700, MA,42.3692,-71.027
US,229,T,3657,403,1700, VA,42.3692,-71.027
US,231,L,8500,328,1700, MA,42.3393,-71.0425
US,231,P,6181,403,400, MA,42.3393,-71.0425
US,249,L,22215,328,1700, MA,42.0501,-71.0034
US,249,L,22215,328,1700, WV,42.0501,-71.0034
US,249,P,9660,403,400, MA,42.0501,-71.0034
US,249,P,9660,403,400, WV,42.0501,-71.0034
US,251,L,2640,328,1700, MA,41.2621,-70.0724
US,251,L,2640,328,1700, WV,41.2621,-70.0724
US,251,P,3075,403,400, MA,41.2621,-70.0724
US,251,P,3075,403,400, WV,41.2621,-70.0724
US,259,L,3501,328,1700, MA,41.7799,-70.5312
US,259,S,20000,403,300, MA,41.7799,-70.5312
US,269,L,4084,328,1700, MA,41.6814,-70.2571
US,269,S,20000,403,300, MA,41.6814,-70.2571
US,299,N,54000,403,2200, RI,41.7335,-71.4462
US,299,N,54000,403,2200, SC,41.7335,-71.4462
US,299,P,26600,403,400, RI,41.7335,-71.4462
US,299,P,26600,403,400, SC,41.7335,-71.4462
