,SLIC,SLIC_State
0,22, BC
1,59, FL
2,68, PR
3,69, FL
4,75, PR
5,79, PR
6,84, PR
7,88, PR
8,89, PR
9,90, PR
10,91, PR
11,92, PR
12,93, PR
13,94, PR
14,95, PR
15,96, PR
16,97, PR
17,98, PR
18,99, PR
19,00AC , BC
20,00ACM, NS
21,00AM , AB
22,00AN , AB
23,00BK , ON
24,00BM , ON
25,00BPM, PE
26,00CA , QC
27,00CBC, PE
28,00CGS, PE
29,00CRY, PE
30,00CSM, NS
31,00EN , ON
32,00EO , AB
33,00GQ , ON
34,00GR , AB
35,00GRM, PE
36,00HRM, NB
37,00HU , QC
38,00HWM, PE
39,00JK , ON
40,00JS , ON
41,00LF , ON
42,00MA , ON
43,00MDX, ON
44,00MF , ON
45,00ML , MB
46,00MO , MB
47,00NA , ON
48,00NB , ON
49,00NC , QC
50,00ND , QC
51,00NE , AB
52,00NF , AB
53,00NFM, PE
54,00NG , MB
55,00NH , SK
56,00NJ , SK
57,00NK , AB
58,00NL , AB
59,00NM , BC
60,00NP , ON
61,00NS , BC
62,00NT , MB
63,00NV , AB
64,00NW , SK
65,00OC , MB
66,00OS , ON
67,00PA , ON
68,00PB , ON
69,00PC , QC
70,00PD , MB
71,00PE , ON
72,00PF , BC
73,00PG , ON
74,00PH , AB
75,00PJ , ON
76,00PK , AB
77,00PL , BC
78,00PM , ON
79,00PN , ON
80,00PO , ON
81,00PP , ON
82,00PQ , ON
83,00PR , ON
84,00PRM, PE
85,00PS , ON
86,00PT , ON
87,00PU , ON
88,00PV , ON
89,00PW , ON
90,00PX , ON
91,00PY , ON
92,00PZ , ON
93,00QA , ON
94,00QB , ON
95,00QC , SK
96,00QD , ON
97,00QE , SK
98,00QEX, ON
99,00QF , SK
100,00QG , ON
101,00QH , ON
102,00QJ , ON
103,00QK , ON
104,00QL , BC
105,00QM , BC
106,00QN , BC
107,00QP , BC
108,00QQ , SK
109,00QR , ON
110,00QS , ON
111,00QT , ON
112,00QU , ON
113,00QV , ON
114,00QW , ON
115,00QX , BC
116,00QY , QC
117,00QZ , ON
118,00RA , ON
119,00RC , ON
120,00RE , ON
121,00RF , ON
122,00RG , ON
123,00RH , ON
124,00RL , BC
125,00RM , ON
126,00RN , ON
127,00RP , BC
128,00RQ , BC
129,00RT , BC
130,00RU , AB
131,00RV , BC
132,00RW , AB
133,00SA , AB
134,00SB , MB
135,00SC , BC
136,00SD , QC
137,00SE , QC
138,00SF , ON
139,00SG , ON
140,00SH , AB
141,00SHX, ON
142,00SM , AB
143,00SR , BC
144,00TL , BC
145,00TW , MB
146,00WC , MB
147,00WD , ON
148,00WG , QC
149,00WO , MB
150,00XE , ON
151,00YC , ON
152,00YO , ON
153,00YS , ON
154,00ZC , AB
155,00ZI , ON
156,00ZJ , ON
157,00ZO , QC
158,00ZQ , ON
159,00ZS , NB
160,00ZW , ON
161,101, MA
162,102, MA
163,104, MA
164,105, NL
165,106, MA
166,108, MA
167,110, MA
168,113, MA
169,115, NL
170,118, MA
171,119, MA
172,120, MA
173,123, NL
174,125, NL
175,127, MA
176,128, MA
177,130, MA
178,131, NH
179,135, NL
180,137, MA
181,138, MA
182,140, MA
183,145, NL
184,146, NL
185,147, MA
186,148, MA
187,150, MA
188,152,   
189,153,   
190,158, MA
191,159,   
192,160, MA
193,161, MA
194,163, MA
195,164, MA
196,168, MA
197,169, MA
198,016WN, MA
199,170, MA
200,172, MA
201,175,   
202,176, MA
203,177, MA
204,178, MA
205,017SP, MA
206,180, MA
207,183, MA
208,184, MA
209,185, MA
210,186, MA
211,187, MA
212,188, MA
213,189, MA
214,190, MA
215,193, MA
216,194, MA
217,195, MA
218,197,   
219,198, MA
220,199, MA
221,01AN , VA
222,01CJ , NS
223,01IN , MA
224,01MR , MA
225,01OB , MA
226,01SB , MA
227,01SJ , NL
228,01WX , MA
229,200, MA
230,201, MA
231,202, MA
232,203, MA
233,204, MA
234,205, MA
235,206, MA
236,207, MA
237,208, MA
238,209, MA
239,210, MA
240,211, MA
241,212, MA
242,213, MA
243,214, MA
244,215, MA
245,216, MA
246,217, MA
247,218, MA
248,219, MA
249,221, MA
250,222, MA
251,223, MA
252,224, MA
253,225, MA
254,226, MA
255,227, NH
256,228, MA
257,229, MA
258,230, MA
259,231, MA
260,233, MA
261,234, MA
262,235, PE
263,236, MA
264,238, MA
265,240, MA
266,245, NL
267,248, MA
268,249, MA
269,024JJ, MA
270,250, MA
271,251, MA
272,254,   
273,255, NL
274,257,   
275,258, MA
276,259, MA
277,260, MA
278,261, MA
279,262, MA
280,263, MA
281,265, NL
282,266, MA
283,267, MA
284,268, MA
285,269, MA
286,270, MA
287,271, MA
288,272, MA
289,273, MA
290,274, MA
291,275, NL
292,276, NL
293,278, MA
294,279, NL
295,027AM, MA
296,027R , MA
297,280, RI
298,281, RI
299,285, RI
300,286, MA
301,288, RI
302,289, RI
303,290, RI
304,291, RI
305,293, MA
306,294, RI
307,297, RI
308,298, RI
309,299, RI
310,02AU , MA
311,02AZ , NL
312,02BE , AB
313,02DM , NL
314,02HR , NL
315,02KA , BC
316,02KR , NL
317,02LX , MA
318,02ME , TX
319,02NA , MA
320,02NB , MA
321,02NC , MA
322,02ND , MA
323,02NF , MA
324,02NH , MA
325,02NM , MA
326,02NN , MA
327,02OX , TX
328,02PM , NL
329,02R3 , MA
330,02RT , MA
331,02SF , MA
332,02SG , NB
333,02TY , MA
334,02WA , MA
335,02WS , MA
336,300, NH
337,302, NH
338,306, NH
339,307, NH
340,308, NH
341,309, NH
342,030AM, NH
343,310, NH
344,311, RI
345,313, NH
346,316, NH
347,317, NH
348,318, NH
349,319, NH
350,320, NH
351,324,   
352,325, NL
353,326, NH
