SLIC,Region Num,District Num,Facility Latitude,Facility Longitude,CC,SORT,CAP,SPAN,STRT
119,7.0,36.5,42.1433,-72.6247,US,L,9124.0,328.0,1700.0
119,7.0,36.5,42.1433,-72.6247,US,P,9413.0,403.0,400.0
119,7.0,36.5,42.1433,-72.6247,US,S,20000.0,403.0,300.0
169,7.0,36.0,42.2603,-71.7924,US,D,83000.0,478.0,1100.0
169,7.0,36.0,42.2603,-71.7924,US,N,83000.0,403.0,2200.0
169,7.0,36.0,42.2603,-71.7924,US,P,6115.0,403.0,400.0
169,7.0,36.0,42.2603,-71.7924,US,S,83000.0,403.0,300.0
169,7.0,36.0,42.2603,-71.7924,US,T,83000.0,403.0,1700.0
189,7.0,49.0,42.6001,-71.3046,US,D,92000.0,478.0,1100.0
189,7.0,49.0,42.6001,-71.3046,US,N,92000.0,403.0,2200.0
189,7.0,49.0,42.6001,-71.3046,US,P,9032.0,403.0,400.0
189,7.0,49.0,42.6001,-71.3046,US,T,92000.0,403.0,1700.0
199,7.0,49.0,42.5065,-71.0344,US,L,7343.0,328.0,1700.0
199,7.0,49.0,42.5065,-71.0344,US,P,4632.0,403.0,400.0
209,7.0,36.0,42.2076,-71.1795,US,L,15367.0,328.0,1700.0
209,7.0,36.0,42.2076,-71.1795,US,P,14768.0,403.0,400.0
212,7.0,36.0,42.3775,-71.0796,US,L,6688.0,328.0,1700.0
212,7.0,36.0,42.3775,-71.0796,US,P,8547.0,403.0,400.0
219,7.0,36.0,42.363,-71.1539,US,L,14045.0,328.0,1700.0
219,7.0,36.0,42.363,-71.1539,US,P,17542.0,403.0,400.0
219,7.0,36.0,42.363,-71.1539,US,S,13500.0,403.0,300.0
229,7.0,36.0,42.3692,-71.027,US,S,3710.0,403.0,300.0
229,7.0,36.0,42.3692,-71.027,US,T,3657.0,403.0,1700.0
231,7.0,36.0,42.3393,-71.0425,US,L,8500.0,328.0,1700.0
231,7.0,36.0,42.3393,-71.0425,US,P,6181.0,403.0,400.0
249,7.0,36.0,42.0501,-71.0034,US,L,22215.0,328.0,1700.0
249,7.0,36.0,42.0501,-71.0034,US,P,9660.0,403.0,400.0
251,7.0,36.0,41.2621,-70.0724,US,L,2640.0,328.0,1700.0
251,7.0,36.0,41.2621,-70.0724,US,P,3075.0,403.0,400.0
259,7.0,36.0,41.7799,-70.5312,US,L,3501.0,328.0,1700.0
259,7.0,36.0,41.7799,-70.5312,US,S,20000.0,403.0,300.0
269,7.0,36.0,41.6814,-70.2571,US,L,4084.0,328.0,1700.0
269,7.0,36.0,41.6814,-70.2571,US,S,20000.0,403.0,300.0
299,7.0,36.0,41.7335,-71.4462,US,N,54000.0,403.0,2200.0
299,7.0,36.0,41.7335,-71.4462,US,P,26600.0,403.0,400.0
299,7.0,36.0,41.7335,-71.4462,US,T,54000.0,403.0,1700.0
309,7.0,49.0,42.9443,-71.4366,US,S,950000.0,403.0,300.0
309,7.0,49.0,42.9443,-71.4366,US,T,1109999.0,403.0,1700.0
319,7.0,49.0,42.9432,-71.4525,US,L,7314.0,328.0,1700.0
319,7.0,49.0,42.9432,-71.4525,US,P,14640.0,403.0,400.0
399,7.0,49.0,42.7564,-71.4905,US,L,3772.0,328.0,1700.0
399,7.0,49.0,42.7564,-71.4905,US,P,13643.0,403.0,400.0
419,7.0,49.0,43.6405,-70.3217,US,L,14227.0,328.0,1700.0
419,7.0,49.0,43.6405,-70.3217,US,P,11900.0,403.0,400.0
422,7.0,49.0,44.0445,-70.2931,US,L,4270.0,328.0,1700.0
422,7.0,49.0,44.0445,-70.2931,US,P,10286.0,403.0,400.0
432,7.0,49.0,0.0,0.0,US,L,1169999.0,328.0,1700.0
449,7.0,49.0,44.7886,-68.7609,US,L,6538.0,328.0,1700.0
449,7.0,49.0,44.7886,-68.7609,US,P,5372.0,403.0,400.0
449,7.0,49.0,44.7886,-68.7609,US,S,20000.0,403.0,300.0
471,7.0,49.0,46.1406,-67.8401,US,L,814.0,328.0,1700.0
471,7.0,49.0,46.1406,-67.8401,US,P,1315.0,403.0,400.0
609,7.0,31.0,41.9271,-72.6319,US,L,20972.0,328.0,1700.0
609,7.0,31.0,41.9271,-72.6319,US,N,20580.0,403.0,2200.0
609,7.0,31.0,41.9271,-72.6319,US,P,6150.0,403.0,400.0
609,7.0,31.0,41.9271,-72.6319,US,S,2850.0,403.0,300.0
609,7.0,31.0,41.9271,-72.6319,US,T,23324.0,403.0,1700.0
619,7.0,31.0,41.7453,-72.6645,US,D,34205.0,478.0,1100.0
619,7.0,31.0,41.7453,-72.6645,US,N,40000.0,403.0,2200.0
619,7.0,31.0,41.7453,-72.6645,US,P,6253.0,403.0,400.0
619,7.0,31.0,41.7453,-72.6645,US,T,40000.0,403.0,1700.0
635,7.0,31.0,41.3677,-72.126,US,L,3158.0,328.0,1700.0
635,7.0,31.0,41.3677,-72.126,US,P,2400.0,403.0,400.0
647,7.0,31.0,41.2478,-72.9924,US,L,3906.0,328.0,1700.0
647,7.0,31.0,41.2478,-72.9924,US,P,4840.0,403.0,400.0
649,7.0,31.0,41.5651,-72.1535,US,L,10167.0,328.0,1700.0
649,7.0,31.0,41.5651,-72.1535,US,P,9540.0,403.0,400.0
652,7.0,31.0,41.3682,-72.883,US,L,5102.0,328.0,1700.0
652,7.0,31.0,41.3682,-72.883,US,P,7449.0,403.0,400.0
669,7.0,31.0,41.1728,-73.1503,US,N,34000.0,403.0,2200.0
669,7.0,31.0,41.1728,-73.1503,US,P,13000.0,403.0,400.0
669,7.0,31.0,41.1728,-73.1503,US,T,34000.0,403.0,1700.0
679,7.0,31.0,41.6073,-73.0803,US,P,11001.0,403.0,400.0
679,7.0,31.0,41.6073,-73.0803,US,T,20000.0,403.0,1700.0
699,7.0,31.0,41.09,-73.4255,US,L,5777.0,328.0,1700.0
699,7.0,31.0,41.09,-73.4255,US,P,11845.0,403.0,400.0
709,7.0,24.666666666666668,40.7539,-74.0636,US,D,160000.0,478.0,1100.0
709,7.0,24.666666666666668,40.7539,-74.0636,US,N,160000.0,403.0,2200.0
709,7.0,24.666666666666668,40.7539,-74.0636,US,P,19832.0,403.0,400.0
709,7.0,24.666666666666668,40.7539,-74.0636,US,T,160000.0,403.0,1700.0
719,7.0,24.666666666666668,40.7526,-74.1942,US,L,8720.0,328.0,1700.0
719,7.0,24.666666666666668,40.7526,-74.1942,US,P,7552.0,403.0,400.0
729,7.0,23.5,20.3454,-37.09165,US,S,6510.0,403.0,300.0
729,7.0,23.5,20.3454,-37.09165,US,T,7210.0,403.0,1700.0
739,7.0,24.666666666666668,40.7539,-74.0636,US,P,14880.0,403.0,400.0
759,7.0,24.75,40.8872,-74.1028,US,N,41599.0,403.0,2200.0
759,7.0,24.75,40.8872,-74.1028,US,P,20900.0,403.0,400.0
759,7.0,24.75,40.8872,-74.1028,US,T,36000.0,403.0,1700.0
779,7.0,26.75,40.2833,-74.0781,US,L,7320.0,328.0,1700.0
779,7.0,26.75,40.2833,-74.0781,US,P,11550.0,403.0,400.0
784,7.0,24.75,40.909,-74.7565,US,L,11700.0,328.0,1700.0
784,7.0,24.75,40.909,-74.7565,US,P,14550.0,403.0,400.0
789,7.0,24.75,40.5722,-74.5611,US,P,24800.0,403.0,400.0
789,7.0,24.75,40.5722,-74.5611,US,T,27630.0,403.0,1700.0
799,7.0,24.75,40.8614,-74.4369,US,D,77000.0,478.0,1100.0
799,7.0,24.75,40.8614,-74.4369,US,N,77000.0,403.0,2200.0
799,7.0,24.75,40.8614,-74.4369,US,P,9240.0,403.0,400.0
799,7.0,24.75,40.8614,-74.4369,US,T,77000.0,403.0,1700.0
819,7.666666666666667,33.0,39.8649,-75.0424,US,N,88000.0,403.0,2200.0
819,7.666666666666667,33.0,39.8649,-75.0424,US,P,29008.0,403.0,400.0
819,7.666666666666667,33.0,39.8649,-75.0424,US,T,88000.0,403.0,1700.0
826,7.4,33.0,39.8649,-75.0424,US,L,1109999.0,328.0,1700.0
829,7.666666666666667,33.0,39.4147,-74.525,US,L,3893.0,328.0,1700.0
829,7.666666666666667,33.0,39.4147,-74.525,US,P,6000.0,403.0,400.0
839,7.666666666666667,33.0,39.4815,-75.0218,US,L,1636.0,328.0,1700.0
839,7.666666666666667,33.0,39.4815,-75.0218,US,P,4040.0,403.0,400.0
869,7.0,26.75,40.2366,-74.7203,US,L,6120.0,328.0,1700.0
869,7.0,26.75,40.2366,-74.7203,US,P,11900.0,403.0,400.0
871,7.0,26.8,40.0727,-74.1796,US,L,4393.0,328.0,1700.0
871,7.0,26.8,40.0727,-74.1796,US,P,10100.0,403.0,400.0
89,7.0,25.25,40.5109,-74.3386,PR,P,69.0,403.0,400.0
89,7.0,25.25,40.5109,-74.3386,PR,T,84.0,403.0,1700.0
899,7.0,24.666666666666668,40.5109,-74.3386,US,P,17323.0,403.0,400.0
899,7.0,24.666666666666668,40.5109,-74.3386,US,T,102000.0,403.0,1700.0
1006,7.0,20.0,40.762,-73.9989,US,P,1009999.0,403.0,400.0
1007,7.0,20.0,40.733875,-73.936125,US,L,7202.0,328.0,1700.0
1007,7.0,20.0,40.733875,-73.936125,US,P,9381.0,403.0,400.0
1009,7.0,20.0,40.762,-73.9989,US,N,25000.0,403.0,2200.0
1009,7.0,20.0,40.762,-73.9989,US,P,28260.0,403.0,400.0
1009,7.0,20.0,40.762,-73.9989,US,S,25000.0,403.0,300.0
1009,7.0,20.0,40.762,-73.9989,US,T,42527.0,403.0,1700.0
1011,7.0,20.0,40.762,-73.9989,US,P,1109999.0,403.0,400.0
1014,7.0,20.0,40.8116,-73.9291,US,L,4507.0,328.0,1700.0
1014,7.0,20.0,40.8116,-73.9291,US,P,5901.0,403.0,400.0
1017,7.0,20.0,40.762,-73.9989,US,P,810000.0,403.0,400.0
1029,7.0,20.0,40.726,-74.0094,US,L,14563.0,328.0,1700.0
1029,7.0,20.0,40.726,-74.0094,US,P,23255.0,403.0,400.0
1049,7.0,20.0,40.8176,-73.8385,US,L,9299.0,328.0,1700.0
1049,7.0,20.0,40.8176,-73.8385,US,P,9844.0,403.0,400.0
1069,7.0,20.0,41.0636,-73.819,US,L,8947.0,328.0,1700.0
1069,7.0,20.0,41.0636,-73.819,US,P,10099.0,403.0,400.0
1089,7.0,20.0,40.8903,-73.8196,US,L,8149.0,328.0,1700.0
1089,7.0,20.0,40.8903,-73.8196,US,P,4161.0,403.0,400.0
1119,7.0,23.0,40.7245,-73.9152,US,N,47000.0,403.0,2200.0
1119,7.0,23.0,40.7245,-73.9152,US,P,15811.0,403.0,400.0
1119,7.0,23.0,40.7245,-73.9152,US,T,47000.0,403.0,1700.0
1129,7.0,23.0,40.6426,-73.916,US,L,12103.0,328.0,1700.0
1129,7.0,23.0,40.6426,-73.916,US,P,20460.0,403.0,400.0
1149,7.0,24.0,40.6527,-73.7952,US,T,1179999.0,403.0,1700.0
1159,7.0,23.0,40.7214,-73.6065,US,N,48000.0,403.0,2200.0
1159,7.0,23.0,40.7214,-73.6065,US,P,10836.0,403.0,400.0
1159,7.0,23.0,40.7214,-73.6065,US,T,49166.0,403.0,1700.0
1189,7.0,23.0,40.7545,-73.4196,US,P,6972.0,403.0,400.0
1189,7.0,23.0,40.7545,-73.4196,US,T,35687.0,403.0,1700.0
1229,7.666666666666667,26.666666666666668,42.7524,-73.7776,US,N,29000.0,403.0,2200.0
1229,7.666666666666667,26.666666666666668,42.7524,-73.7776,US,P,10815.0,403.0,400.0
1229,7.666666666666667,26.666666666666668,42.7524,-73.7776,US,T,29000.0,403.0,1700.0
1239,8.0,25.5,42.7445,-73.8129,US,S,1880.0,403.0,300.0
1239,8.0,25.5,42.7445,-73.8129,US,T,2320.0,403.0,1700.0
