,CC,SLIC,SORT,CAP,SPAN,STRT,SLIC_State,Facility Latitude,Facility Longitude
0,PR,89,P,69,403,400, PR,40.5109,-74.3386
1,PR,89,P,69,403,400, NJ,40.5109,-74.3386
2,PR,89,P,69,403,400, NV,40.5109,-74.3386
3,PR,89,T,84,403,1700, PR,40.5109,-74.3386
4,PR,89,T,84,403,1700, NJ,40.5109,-74.3386
5,PR,89,T,84,403,1700, NV,40.5109,-74.3386
6,PR,93,L,254,328,1700, PR,34.2501,-119.2271
7,PR,93,L,254,328,1700, CA,34.2501,-119.2271
8,PR,93,P,111,403,400, PR,34.2501,-119.2271
9,PR,93,P,111,403,400, CA,34.2501,-119.2271
10,PR,94,L,240,328,1700, PR,37.7645,-122.4057
11,PR,94,L,240,328,1700, CA,37.7645,-122.4057
12,PR,94,P,119,403,400, PR,37.7645,-122.4057
13,PR,94,P,119,403,400, CA,37.7645,-122.4057
14,PR,95,L,240,328,1700, PR,36.9846,-122.0348
15,PR,95,L,240,328,1700, CA,36.9846,-122.0348
16,PR,95,P,84,403,400, PR,36.9846,-122.0348
17,PR,95,P,84,403,400, CA,36.9846,-122.0348
18,PR,96,L,82,328,1700, PR,41.487,-120.5433
19,PR,96,L,82,328,1700, CA,41.487,-120.5433
20,PR,96,P,124,403,400, PR,41.487,-120.5433
21,PR,96,P,124,403,400, CA,41.487,-120.5433
22,US,119,L,9124,328,1700, MA,42.1433,-72.6247
23,US,119,P,9413,403,400, MA,42.1433,-72.6247
24,US,119,S,20000,403,300, MA,42.1433,-72.6247
25,US,169,D,83000,478,1100, MA,42.2603,-71.7924
26,US,169,N,83000,403,2200, MA,42.2603,-71.7924
27,US,169,P,6115,403,400, MA,42.2603,-71.7924
28,US,169,S,83000,403,300, MA,42.2603,-71.7924
29,US,169,T,83000,403,1700, MA,42.2603,-71.7924
30,US,189,D,92000,478,1100, MA,42.6001,-71.3046
31,US,189,D,92000,478,1100, PA,42.6001,-71.3046
32,US,189,N,92000,403,2200, MA,42.6001,-71.3046
33,US,189,N,92000,403,2200, PA,42.6001,-71.3046
34,US,189,P,9032,403,400, MA,42.6001,-71.3046
35,US,189,P,9032,403,400, PA,42.6001,-71.3046
36,US,189,T,92000,403,1700, MA,42.6001,-71.3046
37,US,189,T,92000,403,1700, PA,42.6001,-71.3046
38,US,199,L,7343,328,1700, MA,42.5065,-71.0344
39,US,199,L,7343,328,1700, DE,42.5065,-71.0344
40,US,199,P,4632,403,400, MA,42.5065,-71.0344
41,US,199,P,4632,403,400, DE,42.5065,-71.0344
43,US,209,L,15367,328,1700, MA,42.2076,-71.1795
44,US,209,P,14768,403,400, MA,42.2076,-71.1795
45,US,212,L,6688,328,1700, MA,42.3775,-71.0796
46,US,212,P,8547,403,400, MA,42.3775,-71.0796
47,US,219,L,14045,328,1700, MA,42.363,-71.1539
48,US,219,L,14045,328,1700, MD,42.363,-71.1539
49,US,219,P,17542,403,400, MA,42.363,-71.1539
50,US,219,P,17542,403,400, MD,42.363,-71.1539
51,US,219,S,13500,403,300, MA,42.363,-71.1539
52,US,219,S,13500,403,300, MD,42.363,-71.1539
53,US,229,S,3710,403,300, MA,42.3692,-71.027
54,US,229,S,3710,403,300, VA,42.3692,-71.027
55,US,229,T,3657,403,1700, MA,42.3692,-71.027
56,US,229,T,3657,403,1700, VA,42.3692,-71.027
57,US,231,L,8500,328,1700, MA,42.3393,-71.0425
58,US,231,P,6181,403,400, MA,42.3393,-71.0425
59,US,249,L,22215,328,1700, MA,42.0501,-71.0034
60,US,249,L,22215,328,1700, WV,42.0501,-71.0034
61,US,249,P,9660,403,400, MA,42.0501,-71.0034
62,US,249,P,9660,403,400, WV,42.0501,-71.0034
63,US,251,L,2640,328,1700, MA,41.2621,-70.0724
64,US,251,L,2640,328,1700, WV,41.2621,-70.0724
65,US,251,P,3075,403,400, MA,41.2621,-70.0724
66,US,251,P,3075,403,400, WV,41.2621,-70.0724
67,US,259,L,3501,328,1700, MA,41.7799,-70.5312
68,US,259,S,20000,403,300, MA,41.7799,-70.5312
69,US,269,L,4084,328,1700, MA,41.6814,-70.2571
70,US,269,S,20000,403,300, MA,41.6814,-70.2571
71,US,299,N,54000,403,2200, RI,41.7335,-71.4462
72,US,299,N,54000,403,2200, SC,41.7335,-71.4462
73,US,299,P,26600,403,400, RI,41.7335,-71.4462
74,US,299,P,26600,403,400, SC,41.7335,-71.4462
75,US,299,T,54000,403,1700, RI,41.7335,-71.4462
76,US,299,T,54000,403,1700, SC,41.7335,-71.4462
77,US,309,S,950000,403,300, NH,42.9443,-71.4366
78,US,309,S,950000,403,300, GA,42.9443,-71.4366
79,US,309,T,1109999,403,1700, NH,42.9443,-71.4366
